,Year,State,Population,Deaths Per 100k,City,# Killed,# Injured,# Victims,Gun Law Rank,Safety Grade,Incident Date
303,2017,Georgia,10410330,15.72,Atlanta,2,2,4,32,F,11/12/2017
304,2017,Texas,28295273,12.22,Dallas,1,3,4,34,F,11/11/2017
305,2017,North Carolina,10268233,13.26,Fayetteville,1,5,6,24,D,11/11/2017
306,2017,Louisiana,4670560,21.31,New Orleans,1,5,6,32,F,11/11/2017
307,2017,Ohio,11659650,13.05,Dayton (Trotwood),0,4,4,24,D,11/10/2017
308,2017,Pennsylvania,12787641,12.47,Philadelphia,0,4,4,12,C,11/9/2017
309,2017,Texas,28295273,12.22,Sutherland Springs,27,20,47,34,F,11/5/2017
310,2017,Texas,28295273,12.22,Austin,0,4,4,34,F,11/4/2017
311,2017,Ohio,11659650,13.05,Youngstown,0,4,4,24,D,11/4/2017
312,2017,California,39358497,7.45,Santa Monica,1,3,4,1,A,11/4/2017
313,2017,Minnesota,5566230,7.79,Minneapolis,0,4,4,13,C,11/3/2017
314,2017,California,39358497,7.45,Gardena,0,4,4,1,A,11/3/2017
315,2017,New York,19589572,4.03,Buffalo,0,4,4,4,A,11/3/2017
316,2017,Louisiana,4670560,21.31,Lacombe,1,4,5,32,F,11/3/2017
317,2017,Texas,28295273,12.22,Austin,1,3,4,34,F,10/29/2017
318,2017,Ohio,11659650,13.05,Toledo,0,4,4,24,D,10/28/2017
319,2017,Virginia,8463587,11.76,Petersburg,1,3,4,26,D,10/28/2017
320,2017,Kentucky,4452268,16.81,Louisville,0,6,6,46,F,10/27/2017
321,2017,California,39358497,7.45,San Francisco,0,4,4,1,A,10/27/2017
322,2017,California,39358497,7.45,Clearlake Oaks,2,3,5,1,A,10/23/2017
323,2017,Connecticut,3573297,4.91,Hartford,0,4,4,3,A,10/22/2017
324,2017,Alabama,4874486,21.7,Lanett,2,7,9,38,F,10/22/2017
325,2017,Florida,20963613,12.81,Tampa,0,4,4,22,C,10/21/2017
326,2017,Florida,20963613,12.81,Jacksonville,0,4,4,22,C,10/21/2017
327,2017,Tennessee,6708799,17.82,Nashville,0,4,4,29,D,10/21/2017
328,2017,Pennsylvania,12787641,12.47,Chester,0,4,4,12,C,10/21/2017
329,2017,Maryland,6023868,11.61,Edgewood,3,3,6,6,A,10/18/2017
330,2017,New York,19589572,4.03,Brooklyn,0,4,4,4,A,10/17/2017
331,2017,Mississippi,2988510,22.81,Meridian,1,3,4,50,F,10/16/2017
332,2017,Texas,28295273,12.22,Houston,2,2,4,34,F,10/15/2017
333,2017,Arizona,7044008,15.29,Phoenix,1,3,4,45,F,10/15/2017
334,2017,California,39358497,7.45,Aliso Viejo,2,2,4,1,A,10/12/2017
335,2017,Ohio,11659650,13.05,Pedro,4,0,4,24,D,10/11/2017
336,2017,California,39358497,7.45,San Francisco,0,4,4,1,A,10/10/2017
